Region,Month,Y,time,treated,DID,NYHPI
Wakefield,1/31/14,355207,0,0,0,560.89
Wakefield,2/28/14,353286,0,0,0,560.89
Wakefield,3/31/14,354570,0,0,0,560.89
Wakefield,4/30/14,354144,0,0,0,566.5
Wakefield,5/31/14,354458,0,0,0,566.5
Wakefield,6/30/14,352504,0,0,0,566.5
Wakefield,7/31/14,352709,0,0,0,574.93
Wakefield,8/31/14,353340,0,0,0,574.93
Wakefield,9/30/14,353592,0,0,0,574.93
Wakefield,10/31/14,354017,0,0,0,578.17
Wakefield,11/30/14,355258,0,0,0,578.17
Wakefield,12/31/14,358191,0,0,0,578.17
Wakefield,1/31/15,362888,0,0,0,583.66
Wakefield,2/28/15,364466,0,0,0,583.66
Wakefield,3/31/15,363143,0,0,0,583.66
Wakefield,4/30/15,363257,0,0,0,588.35
Wakefield,5/31/15,365166,0,0,0,588.35
Wakefield,6/30/15,369548,0,0,0,588.35
Wakefield,7/31/15,373510,0,0,0,593.52
Wakefield,8/31/15,374159,0,0,0,593.52
Wakefield,9/30/15,374520,0,0,0,593.52
Wakefield,10/31/15,371654,0,0,0,594.33
Wakefield,11/30/15,373421,0,0,0,594.33
Wakefield,12/31/15,376798,0,0,0,594.33
Wakefield,1/31/16,377723,0,0,0,597.55
Wakefield,2/29/16,378635,0,0,0,597.55
Wakefield,3/31/16,378855,0,0,0,597.55
Wakefield,4/30/16,381923,0,0,0,607.1
Wakefield,5/31/16,383572,0,0,0,607.1
Wakefield,6/30/16,386306,0,0,0,607.1
Wakefield,7/31/16,387682,0,0,0,615.42
Wakefield,8/31/16,389851,0,0,0,615.42
Wakefield,9/30/16,392032,0,0,0,615.42
Wakefield,10/31/16,394358,0,0,0,620.86
Wakefield,11/30/16,396385,0,0,0,620.86
Wakefield,12/31/16,397131,0,0,0,620.86
Wakefield,1/31/17,397961,0,0,0,622.68
Wakefield,2/28/17,399905,0,0,0,622.68
Wakefield,3/31/17,400429,0,0,0,622.68
Wakefield,4/30/17,402603,0,0,0,632.98
Wakefield,5/31/17,406067,0,0,0,632.98
Wakefield,6/30/17,412940,0,0,0,632.98
Wakefield,7/31/17,418516,0,0,0,645.51
Wakefield,8/31/17,421472,0,0,0,645.51
Wakefield,9/30/17,424831,0,0,0,645.51
Wakefield,10/31/17,427912,0,0,0,651.54
Wakefield,11/30/17,431201,0,0,0,651.54
Wakefield,12/31/17,432253,0,0,0,651.54
Wakefield,1/31/18,435694,0,0,0,658.62
Wakefield,2/28/18,437693,0,0,0,658.62
Wakefield,3/31/18,443339,0,0,0,658.62
Wakefield,4/30/18,445831,0,0,0,666.45
Wakefield,5/31/18,449390,0,0,0,666.45
Wakefield,6/30/18,449712,0,0,0,666.45
Wakefield,7/31/18,450202,0,0,0,677.69
Wakefield,8/31/18,450267,0,0,0,677.69
Wakefield,9/30/18,448262,0,0,0,677.69
Wakefield,10/31/18,445516,0,0,0,678.06
Wakefield,11/30/18,446395,0,0,0,678.06
Wakefield,12/31/18,447706,0,0,0,678.06
Wakefield,1/31/19,452822,0,0,0,683.57
Wakefield,2/28/19,457743,0,0,0,683.57
Wakefield,3/31/19,462633,0,0,0,683.57
Wakefield,4/30/19,465377,0,0,0,694.65
Wakefield,5/31/19,467319,0,0,0,694.65
Wakefield,6/30/19,471422,0,0,0,694.65
Wakefield,7/31/19,473547,0,0,0,704.93
Wakefield,8/31/19,473936,0,0,0,704.93
Wakefield,9/30/19,474046,0,0,0,704.93
Wakefield,10/31/19,475703,0,0,0,712.41
Wakefield,11/30/19,477925,0,0,0,712.41
Wakefield,12/31/19,480342,1,0,0,712.41
Wakefield,1/31/20,485381,1,0,0,719.08
Wakefield,2/29/20,488499,1,0,0,719.08
Wakefield,3/31/20,487858,1,0,0,719.08
Wakefield,4/30/20,487193,1,0,0,724.91
Wakefield,5/31/20,488503,1,0,0,724.91
Wakefield,6/30/20,494107,1,0,0,724.91
Wakefield,7/31/20,496879,1,0,0,736.83
Wakefield,8/31/20,499446,1,0,0,736.83
Wakefield,9/30/20,502040,1,0,0,736.83
Wakefield,10/31/20,504418,1,0,0,752.77
Wakefield,11/30/20,506102,1,0,0,752.77
Wakefield,12/31/20,505413,1,0,0,752.77
Wakefield,1/31/21,507911,1,0,0,770.8
Wakefield,2/28/21,512755,1,0,0,770.8
Wakefield,3/31/21,518881,1,0,0,770.8
Wakefield,4/30/21,522907,1,0,0,797.68
Wakefield,5/31/21,523519,1,0,0,797.68
Wakefield,6/30/21,525051,1,0,0,797.68
Wakefield,7/31/21,526878,1,0,0,838.79
Wakefield,8/31/21,531795,1,0,0,838.79
Wakefield,9/30/21,535157,1,0,0,838.79
Wakefield,10/31/21,539281,1,0,0,857.97
Wakefield,11/30/21,542000,1,0,0,857.97
Wakefield,12/31/21,544758,1,0,0,857.97
Wakefield,1/31/22,547607,1,0,0,857.97
Wakefield,2/28/22,550990,1,0,0,857.97
Wakefield,3/31/22,555298,1,0,0,857.97
